Date,L_Nifty50 ,L_BSE ,L_GDP ,L_Inflation,L_Unemployment ,L_FDI ,L_Interest,L_Exchange
31-12-1997,-0.023032561,0.170393008,0.051618079,0.062800901,0.026226486,0.427750153,-0.141179613,0.023891
31-12-1998,-0.148032483,-0.180095703,-0.000712166,0.125163143,0.024227295,-0.196377642,-0.088233551,0.128627
31-12-1999,0.440164208,0.493687446,0.08574405,0.045007596,0.021053409,-0.124393588,-0.155024577,0.041939
31-12-2000,-0.185886294,-0.231301278,0.038063179,0.04072419,0.023167059,0.08536656,-0.052776066,0.042448
31-12-2001,-0.176248704,-0.196858293,0.035655503,0.036870536,0.022642477,0.440822407,-0.101782694,0.048211
31-12-2002,0.041590748,0.034628988,0.056865914,0.042088161,0.025784117,-0.063143682,-0.080280831,0.029335
31-12-2003,0.532742467,0.547482047,0.167936516,0.038302554,0.018018506,-0.180173328,-0.060624622,-0.042749
31-12-2004,0.10146946,0.122924443,0.154335471,0.036889429,0.017699577,0.141605528,-0.013245227,-0.028957
31-12-2005,0.309980276,0.353012311,0.145002213,0.041385216,0.017391743,0.514750032,0,-0.028252
31-12-2006,0.335270357,0.383230139,0.129040985,0.059943036,-0.010398707,0.508150435,0,0.026595
31-12-2007,0.436737821,0.386260203,0.266303554,0.061693569,-0.009334957,0.475164903,0,-0.092900
31-12-2008,-0.729694638,-0.743300674,-0.011856562,0.086726436,-0.004700361,0.500984169,0,0.052245
31-12-2009,0.563958463,0.593508879,0.109241546,0.116737557,-0.009467526,0.158235401,0,0.107968
31-12-2010,0.165068047,0.160680203,0.224168367,0.110785106,-0.010759219,-0.248253563,0,-0.057083
31-12-2011,-0.282603567,-0.282940803,0.064922556,0.092923951,-0.012092046,0.294024521,0,0.020114
31-12-2012,0.244491376,0.228721524,0.002465282,0.128970381,-0.00732604,-0.092642036,0.386395545,0.136197
31-12-2013,0.065367968,0.085968282,0.015797088,0.103458708,-0.008615438,0.092923951,0.014615212,0.091952
31-12-2014,0.27298465,0.261547708,0.093707816,0.06205573,-0.012437971,0.121554559,0.00445435,0.041515
31-12-2015,-0.039338073,-0.051557794,0.031141629,0.057629113,-0.012594625,0.241647671,-0.084590068,0.049761
31-12-2016,0.027570017,0.019298339,0.086995531,0.048409139,-0.011472401,0.235531797,-0.148323275,0.046478
31-12-2017,0.251893855,0.246125142,0.144479824,0.035196445,-0.01030937,0.083771191,-0.098681917,-0.031636
31-12-2018,0.031026293,0.057384595,0.019199753,0.033999658,-0.009108716,0.10074157,0.006172859,0.049583
31-12-2019,0.113525443,0.13432658,0.061762186,0.047231,-0.161366192,0.100033067,-0.083381609,0.028893
31-12-2020,0.138906371,0.146265145,-0.073409912,0.05990603,0.18844715,0.153979689,-0.282123414,0.052118
31-12-2021,0.216073001,0.19880275,0.164820143,0.050462278,-0.208618509,0.173313204,-0.059378171,-0.002807
31-12-2022,0.042378805,0.043449961,0.071885762,0.065259707,-0.280394169,-0.117945953,0.233908926,0.060919
31-12-2023,0.182553506,0.171737878,0.097560835,0.053198138,-0.144857892,-0.037061806,0.190974268,0.049549
